출생년도,성별,직업,건기식_섭취제품,건기식_섭취빈도,건기식_섭취이유,건기식_선택기준,건기식_구매채널,녹용_인지도,녹용_섭취경험,녹용_이미지,녹용_구매장벽,녹용_매력요소,건기식_추천경로,릴스_선호스타일,콘텐츠_행동,건기식릴스_호감요인,건기식릴스_기억키워드,건기식_섭취량,연령대
1990,여,자영업,"비타민, 오메가3, 유산균, 홍삼",매일,피로 회복,맛과 섭취의 편리함,브랜드 공식몰,2,가끔 먹는다,"맛이 부담스럽다, 부모님/어르신용이다, 비싸다","가격 부담, 맛/향에 대한 거부감, 복용 방법이 번거로움","과학적 효능 인증 & 원산지 투명성, 맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지, 합리적인 가격대",지인 추천,"정보형 (효능, 성분 설명 등)",저장,"제품 효능이 눈에 띄게 전달될 때, 감각적인 비주얼/디자인일 때, 신뢰할 만한 정보가 포함될 때, 이벤트/할인 정보가 있을 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","간편함, 건강 루틴, 이벤트/특가, 천연 재료, 효능 (면역력, 체력 회복, 혈액 순환 등)",4,30대 후반
2000,여,학생,"비타민, 콜라겐",매일,피로 회복,효능/효과,소셜커머스(쿠팡 등),2,한 번도 먹어본 적 없다,"고급 건강식품이다, 부모님/어르신용이다","가격 부담, 맛/향에 대한 거부감, 효능에 대한 의심","과학적 효능 인증 & 원산지 투명성, 맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지",인스타그램,"리뷰형 (실제 후기, 체험담)","저장, 좋아요","실제 사용자가 등장할 때, 신뢰할 만한 정보가 포함될 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","고객 후기, 효능 (면역력, 체력 회복, 혈액 순환 등)",2,20대 후반
2003,남,학생,"비타민, 유산균",주 2-3회,피로 회복,가격,소셜커머스(쿠팡 등),4,자주 먹는다,"면역력에 좋다, 부모님/어르신용이다",가격 부담,트렌디한 디자인과 패키지,유튜브,"정보형 (효능, 성분 설명 등)",좋아요,재미있고 트렌디할 때,건강 루틴,2,20대 초반
1999,여,사무직,"비타민, 오메가3, 유산균",주 2-3회,체력 강화,성분/원산지,브랜드 공식몰,2,한 번도 먹어본 적 없다,부모님/어르신용이다,"맛/향에 대한 거부감, 젊은 세대와 어울리지 않는 이미지",스틱형/젤리형/양갱 등 간편한 섭취 방식,인스타그램,"정보형 (효능, 성분 설명 등)","저장, 좋아요",신뢰할 만한 정보가 포함될 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",3,20대 후반
2001,여,전문직,유산균,필요할 때만,면역력 증진,가격,브랜드 공식몰,1,한 번도 먹어본 적 없다,"면역력에 좋다, 부모님/어르신용이다","가격 부담, 맛/향에 대한 거부감, 효능에 대한 의심","스틱형/젤리형/양갱 등 간편한 섭취 방식, 유명 인플루언서/SNS 바이럴, 트렌디한 디자인과 패키지",지인 추천,"정보형 (효능, 성분 설명 등)",단순 시청(아무 액션 X),"실제 사용자가 등장할 때, 신뢰할 만한 정보가 포함될 때","건강 루틴, 효능 (면역력, 체력 회복, 혈액 순환 등)",1,20대 후반
1989,여,무직,"비타민, 오메가3, 유산균",매일,면역력 증진,효능/효과,네이버 스마트스토어,1,과거에는 먹었지만 현재는 먹지 않는다,"면역력에 좋다, 부모님/어르신용이다, 비싸다","가격 부담, 맛/향에 대한 거부감",스틱형/젤리형/양갱 등 간편한 섭취 방식,블로그/카페,"정보형 (효능, 성분 설명 등)","공유, 단순 시청(아무 액션 X)","신뢰할 만한 정보가 포함될 때, 이벤트/할인 정보가 있을 때","천연 재료, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,30대 후반
1989,남,사무직,"비타민, 오메가3, 홍삼",매일,체력 강화,효능/효과,네이버 스마트스토어,2,한 번도 먹어본 적 없다,"면역력에 좋다, 비싸다, 효과가 좋다","복용 방법이 번거로움, 젊은 세대와 어울리지 않는 이미지, 정보 부족, 효능에 대한 의심","유명 인플루언서/SNS 바이럴, 합리적인 가격대",유튜브,"정보형 (효능, 성분 설명 등)","공유, 댓글 작성, 팔로우","재미있고 트렌디할 때, 실제 사용자가 등장할 때, 감각적인 비주얼/디자인일 때","고객 후기, 천연 재료, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,30대 후반
2002,여,학생,비타민,필요할 때만,면역력 증진,효능/효과,네이버 스마트스토어,3,가끔 먹는다,비싸다,효능에 대한 의심,과학적 효능 인증 & 원산지 투명성,유튜브,"정보형 (효능, 성분 설명 등)",좋아요,제품 효능이 눈에 띄게 전달될 때,건강 루틴,1,20대 초반
1998,여,무직,"단백질 파우더, 비타민, 오메가3, 유산균",매일,피로 회복,성분/원산지,브랜드 공식몰,2,가끔 먹는다,"고급 건강식품이다, 부모님/어르신용이다, 비싸다","가격 부담, 복용 방법이 번거로움, 효능에 대한 의심","과학적 효능 인증 & 원산지 투명성, 스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",전문가 추천,"정보형 (효능, 성분 설명 등)",단순 시청(아무 액션 X),"신뢰할 만한 정보가 포함될 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","건강 루틴, 효능 (면역력, 체력 회복, 혈액 순환 등)",4,20대 후반
1988,여,사무직,"비타민, 유산균",매일,면역력 증진,브랜드 신뢰도,브랜드 공식몰,4,한 번도 먹어본 적 없다,"맛이 부담스럽다, 부모님/어르신용이다","맛/향에 대한 거부감, 젊은 세대와 어울리지 않는 이미지, 효능에 대한 의심","트렌디한 디자인과 패키지, 합리적인 가격대",블로그/카페,"리뷰형 (실제 후기, 체험담)",저장,"제품 효능이 눈에 띄게 전달될 때, 감각적인 비주얼/디자인일 때","건강 루틴, 효능 (면역력, 체력 회복, 혈액 순환 등)",2,30대 후반
1993,여,전문직,없음,전혀 안 먹음,섭취 안함,없음,소셜커머스(쿠팡 등),4,과거에는 먹었지만 현재는 먹지 않는다,"고급 건강식품이다, 효과가 좋다","가격 부담, 복용 방법이 번거로움","과학적 효능 인증 & 원산지 투명성, 스틱형/젤리형/양갱 등 간편한 섭취 방식",인스타그램,"정보형 (효능, 성분 설명 등)","공유, 저장, 좋아요","제품 효능이 눈에 띄게 전달될 때, 신뢰할 만한 정보가 포함될 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","효능 (면역력, 체력 회복, 혈액 순환 등)",0,30대 초반
2001,여,취준생,"비타민, 유산균",필요할 때만,피로 회복,효능/효과,카카오톡 선물하기,2,한 번도 먹어본 적 없다,떠오르는 이미지가 없다,정보 부족,과학적 효능 인증 & 원산지 투명성,블로그/카페,"정보형 (효능, 성분 설명 등)",단순 시청(아무 액션 X),"제품 효능이 눈에 띄게 전달될 때, 신뢰할 만한 정보가 포함될 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때",간편함,2,20대 후반
1990,남,자영업,"비타민, 오메가3, 유산균",매일,면역력 증진,성분/원산지,소셜커머스(쿠팡 등),3,한 번도 먹어본 적 없다,"고급 건강식품이다, 부모님/어르신용이다, 비싸다","가격 부담, 정보 부족","과학적 효능 인증 & 원산지 투명성, 스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지, 합리적인 가격대",유튜브,"리뷰형 (실제 후기, 체험담)","단순 시청(아무 액션 X), 저장, 좋아요","제품 효능이 눈에 띄게 전달될 때, 재미있고 트렌디할 때, 신뢰할 만한 정보가 포함될 때, 이벤트/할인 정보가 있을 때","간편함, 이벤트/특가, 천연 재료, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,30대 후반
1988,여,사무직,비타민,매일,피로 회복,효능/효과,소셜커머스(쿠팡 등),3,한 번도 먹어본 적 없다,부모님/어르신용이다,젊은 세대와 어울리지 않는 이미지,스틱형/젤리형/양갱 등 간편한 섭취 방식,유튜브,트렌디한 밈/유머 형식,좋아요,"재미있고 트렌디할 때, 감각적인 비주얼/디자인일 때","간편함, 효능 (면역력, 체력 회복, 혈액 순환 등)",1,30대 후반
2000,남,취준생,"비타민, 홍삼",주 2-3회,면역력 증진,맛과 섭취의 편리함,브랜드 공식몰,2,한 번도 먹어본 적 없다,"면역력에 좋다, 부모님/어르신용이다, 비싸다","가격 부담, 맛/향에 대한 거부감","트렌디한 디자인과 패키지, 합리적인 가격대",인스타그램,"정보형 (효능, 성분 설명 등)","댓글 작성, 좋아요","실제 사용자가 등장할 때, 감각적인 비주얼/디자인일 때",천연 재료,2,20대 후반
1999,여,취준생,"단백질 파우더, 비타민, 오메가3, 유산균",매일,면역력 증진,성분/원산지,브랜드 공식몰,1,과거에는 먹었지만 현재는 먹지 않는다,"고급 건강식품이다, 면역력에 좋다, 비싸다",가격 부담,"과학적 효능 인증 & 원산지 투명성, 합리적인 가격대",유튜브,"정보형 (효능, 성분 설명 등)",공유,"제품 효능이 눈에 띄게 전달될 때, 신뢰할 만한 정보가 포함될 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","건강 루틴, 효능 (면역력, 체력 회복, 혈액 순환 등)",4,20대 후반
1988,여,사무직,"비타민, 유산균",주 2-3회,면역력 증진,효능/효과,브랜드 공식몰,2,한 번도 먹어본 적 없다,고급 건강식품이다,"가격 부담, 젊은 세대와 어울리지 않는 이미지","맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지",블로그/카페,"정보형 (효능, 성분 설명 등)","댓글 작성, 좋아요","제품 효능이 눈에 띄게 전달될 때, 재미있고 트렌디할 때","효능 (면역력, 체력 회복, 혈액 순환 등)",2,30대 후반
1996,여,사무직,"유산균, 홍삼",필요할 때만,피로 회복,가격,네이버 스마트스토어,1,한 번도 먹어본 적 없다,"고급 건강식품이다, 부모님/어르신용이다, 비싸다","가격 부담, 맛/향에 대한 거부감, 젊은 세대와 어울리지 않는 이미지, 정보 부족","과학적 효능 인증 & 원산지 투명성, 스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",지인 추천,트렌디한 밈/유머 형식,단순 시청(아무 액션 X),"재미있고 트렌디할 때, 이벤트/할인 정보가 있을 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","고객 후기, 이벤트/특가, 효능 (면역력, 체력 회복, 혈액 순환 등)",2,30대 초반
1991,여,사무직,"비타민, 오메가3, 유산균",필요할 때만,피로 회복,성분/원산지,소셜커머스(쿠팡 등),3,한 번도 먹어본 적 없다,"면역력에 좋다, 부모님/어르신용이다",정보 부족,"과학적 효능 인증 & 원산지 투명성, 합리적인 가격대",유튜브,"리뷰형 (실제 후기, 체험담)",단순 시청(아무 액션 X),제품 효능이 눈에 띄게 전달될 때,"고객 후기, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,30대 후반
1990,남,사무직,"비타민, 오메가3, 유산균",매일,면역력 증진,성분/원산지,소셜커머스(쿠팡 등),1,한 번도 먹어본 적 없다,부모님/어르신용이다,"가격 부담, 맛/향에 대한 거부감, 효능에 대한 의심",트렌디한 디자인과 패키지,블로그/카페,"리뷰형 (실제 후기, 체험담)",댓글 작성,"제품 효능이 눈에 띄게 전달될 때, 신뢰할 만한 정보가 포함될 때","고객 후기, 이벤트/특가, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,30대 후반
2002,남,학생,"비타민, 오메가3, 유산균",매일,면역력 증진,가격,브랜드 공식몰,3,한 번도 먹어본 적 없다,"고급 건강식품이다, 부모님/어르신용이다","가격 부담, 정보 부족",스틱형/젤리형/양갱 등 간편한 섭취 방식,유튜브,모름,"단순 시청(아무 액션 X), 좋아요","재미있고 트렌디할 때, 감각적인 비주얼/디자인일 때","이벤트/특가, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,20대 초반
1998,여,취준생,"비타민, 오메가3, 유산균",매일,면역력 증진,효능/효과,네이버 스마트스토어,5,한 번도 먹어본 적 없다,부모님/어르신용이다,효능에 대한 의심,"과학적 효능 인증 & 원산지 투명성, 맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 유명 인플루언서/SNS 바이럴, 트렌디한 디자인과 패키지, 합리적인 가격대",유튜브,"리뷰형 (실제 후기, 체험담)",단순 시청(아무 액션 X),제품 효능이 눈에 띄게 전달될 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",3,20대 후반
1997,여,취준생,없음,과거엔 먹었는데 현재는 안 먹음,질병 예방 목적,성분/원산지,네이버 스마트스토어,2,한 번도 먹어본 적 없다,"맛이 부담스럽다, 부모님/어르신용이다, 비싸다","가격 부담, 효능에 대한 의심","과학적 효능 인증 & 원산지 투명성, 맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",지인 추천,"정보형 (효능, 성분 설명 등)",공유,신뢰할 만한 정보가 포함될 때,"이벤트/특가, 천연 재료, 효능 (면역력, 체력 회복, 혈액 순환 등)",0,20대 후반
2002,여,학생,"비타민, 오메가3, 유산균",매일,피로 회복,성분/원산지,네이버 스마트스토어,2,한 번도 먹어본 적 없다,"고급 건강식품이다, 비싸다","가격 부담, 맛/향에 대한 거부감","스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",블로그/카페,모름,"저장, 좋아요",신뢰할 만한 정보가 포함될 때,"간편함, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,20대 초반
1993,남,사무직,"비타민, 유산균",주 2-3회,피로 회복,성분/원산지,네이버 스마트스토어,3,한 번도 먹어본 적 없다,"고급 건강식품이다, 효과가 좋다",정보 부족,"과학적 효능 인증 & 원산지 투명성, 맛 개선(부담 없는 맛), 합리적인 가격대",유튜브,"정보형 (효능, 성분 설명 등)",저장,"제품 효능이 눈에 띄게 전달될 때, 신뢰할 만한 정보가 포함될 때","이벤트/특가, 천연 재료, 효능 (면역력, 체력 회복, 혈액 순환 등)",2,30대 초반
1992,여,취준생,"비타민, 오메가3, 유산균",매일,면역력 증진,효능/효과,네이버 스마트스토어,1,한 번도 먹어본 적 없다,떠오르는 이미지가 없다,"복용 방법이 번거로움, 효능에 대한 의심","맛 개선(부담 없는 맛), 합리적인 가격대",블로그/카페,"리뷰형 (실제 후기, 체험담)",단순 시청(아무 액션 X),제품 효능이 눈에 띄게 전달될 때,"간편함, 이벤트/특가",3,30대 초반
1989,남,취준생,비타민,주 2-3회,피로 회복,효능/효과,소셜커머스(쿠팡 등),1,한 번도 먹어본 적 없다,부모님/어르신용이다,"가격 부담, 효능에 대한 의심","스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",지인 추천,"비주얼 중심 (디자인, 감성)","단순 시청(아무 액션 X), 좋아요",신뢰할 만한 정보가 포함될 때,건강 루틴,1,30대 후반
1989,남,전문직,"비타민, 유산균, 홍삼",매일,피로 회복,가격,소셜커머스(쿠팡 등),4,한 번도 먹어본 적 없다,"고급 건강식품이다, 부모님/어르신용이다, 비싸다","맛/향에 대한 거부감, 젊은 세대와 어울리지 않는 이미지","스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지, 합리적인 가격대",블로그/카페,챌린지/참여형 콘텐츠,"공유, 저장, 좋아요",신뢰할 만한 정보가 포함될 때,"고객 후기, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,30대 후반
1990,여,자영업,"비타민, 오메가3",매일,체력 강화,효능/효과,네이버 스마트스토어,3,한 번도 먹어본 적 없다,부모님/어르신용이다,가격 부담,스틱형/젤리형/양갱 등 간편한 섭취 방식,유튜브,"리뷰형 (실제 후기, 체험담)",좋아요,실제 사용자가 등장할 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",2,30대 후반
1989,남,사무직,비타민,주 2-3회,면역력 증진,가격,브랜드 공식몰,3,과거에는 먹었지만 현재는 먹지 않는다,고급 건강식품이다,가격 부담,합리적인 가격대,유튜브,"정보형 (효능, 성분 설명 등)",단순 시청(아무 액션 X),신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",1,30대 후반
1995,여,사무직,유산균,주 2-3회,면역력 증진,효능/효과,"오픈마켓(G마켓, 옥션 등)",3,한 번도 먹어본 적 없다,부모님/어르신용이다,"젊은 세대와 어울리지 않는 이미지, 효능에 대한 의심","맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지, 합리적인 가격대",유튜브,"리뷰형 (실제 후기, 체험담)",저장,"제품 효능이 눈에 띄게 전달될 때, 신뢰할 만한 정보가 포함될 때, 이벤트/할인 정보가 있을 때, 신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때","효능 (면역력, 체력 회복, 혈액 순환 등)",1,30대 초반
1996,여,사무직,"비타민, 오메가3, 유산균",주 2-3회,면역력 증진,가격,브랜드 공식몰,1,한 번도 먹어본 적 없다,"부모님/어르신용이다, 비싸다","가격 부담, 젊은 세대와 어울리지 않는 이미지, 효능에 대한 의심","스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지, 합리적인 가격대",유튜브,"리뷰형 (실제 후기, 체험담)",단순 시청(아무 액션 X),"제품 효능이 눈에 띄게 전달될 때, 실제 사용자가 등장할 때, 신뢰할 만한 정보가 포함될 때","건강 루틴, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,30대 초반
1988,여,사무직,"단백질 파우더, 비타민, 유산균",매일,질병 예방 목적,효능/효과,소셜커머스(쿠팡 등),1,한 번도 먹어본 적 없다,"고급 건강식품이다, 맛이 부담스럽다, 면역력에 좋다, 부모님/어르신용이다, 비싸다","가격 부담, 맛/향에 대한 거부감, 정보 부족","과학적 효능 인증 & 원산지 투명성, 맛 개선(부담 없는 맛), 스틱형/젤리형/양갱 등 간편한 섭취 방식, 트렌디한 디자인과 패키지, 합리적인 가격대",블로그/카페,"정보형 (효능, 성분 설명 등)","댓글 작성, 저장, 좋아요, 팔로우","제품 효능이 눈에 띄게 전달될 때, 감각적인 비주얼/디자인일 때, 신뢰할 만한 정보가 포함될 때, 이벤트/할인 정보가 있을 때","이벤트/특가, 효능 (면역력, 체력 회복, 혈액 순환 등)",3,30대 후반
1997,여,사무직,오메가3,주 2-3회,혈액 순환,효능/효과,네이버 스마트스토어,3,한 번도 먹어본 적 없다,비싸다,"가격 부담, 맛/향에 대한 거부감, 효능에 대한 의심","과학적 효능 인증 & 원산지 투명성, 스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",지인 추천,"정보형 (효능, 성분 설명 등)","단순 시청(아무 액션 X), 저장",신뢰할 만한 정보가 포함될 때,없음,1,20대 후반
1998,여,취준생,"비타민, 오메가3, 유산균, 홍삼",필요할 때만,면역력 증진,효능/효과,소셜커머스(쿠팡 등),4,과거에는 먹었지만 현재는 먹지 않는다,면역력에 좋다,가격 부담,합리적인 가격대,쇼핑몰 리뷰,"리뷰형 (실제 후기, 체험담)",저장,제품 효능이 눈에 띄게 전달될 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",4,20대 후반
1989,여,사무직,비타민,필요할 때만,피로 회복,성분/원산지,"오픈마켓(G마켓, 옥션 등)",1,한 번도 먹어본 적 없다,"고급 건강식품이다, 부모님/어르신용이다, 비싸다","가격 부담, 정보 부족","과학적 효능 인증 & 원산지 투명성, 스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",쇼핑몰 리뷰,모름,단순 시청(아무 액션 X),"신뢰할 만한 정보가 포함될 때, 이벤트/할인 정보가 있을 때",없음,1,30대 후반
2000,여,취준생,"비타민, 유산균",매일,체력 강화,맛과 섭취의 편리함,소셜커머스(쿠팡 등),4,한 번도 먹어본 적 없다,부모님/어르신용이다,"맛/향에 대한 거부감, 효능에 대한 의심","스틱형/젤리형/양갱 등 간편한 섭취 방식, 합리적인 가격대",유튜브,"정보형 (효능, 성분 설명 등)",좋아요,"제품 효능이 눈에 띄게 전달될 때, 실제 사용자가 등장할 때","효능 (면역력, 체력 회복, 혈액 순환 등)",2,20대 후반
1989,남,사무직,"단백질 파우더, 비타민, 오메가3, 유산균",매일,피로 회복,효능/효과,네이버 스마트스토어,1,한 번도 먹어본 적 없다,"고급 건강식품이다, 면역력에 좋다, 부모님/어르신용이다, 비싸다, 효과가 좋다",가격 부담,스틱형/젤리형/양갱 등 간편한 섭취 방식,유튜브,"정보형 (효능, 성분 설명 등)",단순 시청(아무 액션 X),"제품 효능이 눈에 띄게 전달될 때, 실제 사용자가 등장할 때","고객 후기, 효능 (면역력, 체력 회복, 혈액 순환 등)",4,30대 후반
1995,여,취준생,"비타민, 유산균",매일,피로 회복,효능/효과,네이버 스마트스토어,2,한 번도 먹어본 적 없다,"고급 건강식품이다, 비싸다, 효과가 좋다",가격 부담,스틱형/젤리형/양갱 등 간편한 섭취 방식,유튜브,"리뷰형 (실제 후기, 체험담)",좋아요,제품 효능이 눈에 띄게 전달될 때,고객 후기,2,30대 초반
1988,남,사무직,"비타민, 오메가3",매일,피로 회복,효능/효과,소셜커머스(쿠팡 등),1,한 번도 먹어본 적 없다,부모님/어르신용이다,가격 부담,스틱형/젤리형/양갱 등 간편한 섭취 방식,유튜브,"정보형 (효능, 성분 설명 등)","좋아요, 팔로우",신뢰할 수 있고 사회적 책임을 다하는 브랜드라고 느껴질 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",2,30대 후반
1988,남,사무직,"비타민, 유산균, 홍삼",매일,면역력 증진,효능/효과,네이버 스마트스토어,2,가끔 먹는다,면역력에 좋다,효능에 대한 의심,스틱형/젤리형/양갱 등 간편한 섭취 방식,지인 추천,모름,"단순 시청(아무 액션 X), 좋아요",제품 효능이 눈에 띄게 전달될 때,건강 루틴,3,30대 후반
1999,남,학생,비타민,매일,면역력 증진,효능/효과,브랜드 공식몰,3,가끔 먹는다,비싸다,복용 방법이 번거로움,합리적인 가격대,인스타그램,"비주얼 중심 (디자인, 감성)",댓글 작성,신뢰할 만한 정보가 포함될 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",1,20대 후반
1992,남,사무직,비타민,필요할 때만,피로 회복,효능/효과,"오픈마켓(G마켓, 옥션 등)",2,한 번도 먹어본 적 없다,맛이 부담스럽다,"가격 부담, 맛/향에 대한 거부감, 복용 방법이 번거로움, 젊은 세대와 어울리지 않는 이미지, 정보 부족, 효능에 대한 의심",합리적인 가격대,블로그/카페,"정보형 (효능, 성분 설명 등)","공유, 댓글 작성, 저장, 좋아요, 팔로우",제품 효능이 눈에 띄게 전달될 때,"효능 (면역력, 체력 회복, 혈액 순환 등)",1,30대 초반
